Decile,Conservative,Liberal Democrat,Labour,Brexit,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,Other
1,21.812494944561095,3.541101263378834,42.79506656377943,4.706100368652305,1.6731153040312337,2.2616488854158256,0.0,6.671428996563123,6.086393362262597,3.0272586090197606,2.291890703228574,3.2533313341221817,1.8801696649850408
2,31.212551874529257,4.833839865529113,46.38288837736258,7.4731450470531895,2.1956010996081154,0.0,0.6884997267775872,2.2018151601636693,0.21547231632162586,1.0372276911949707,0.9804956047357591,1.6778239032135251,1.1006393335106073
3,36.16363182894094,6.670795103500344,43.44883081868118,3.158801331214306,2.3705060941002505,6.142458362486522,0.35826483005279375,0.0,0.0,0.0,0.0,0.0,1.686711631023665
4,39.81090858883177,7.46321435977498,40.02669957504543,3.371196344468029,2.414666803684681,5.037330784792544,1.0526461131806188,0.0,0.0,0.0,0.0,0.0,0.8233374302219439
5,45.012626997756094,9.729511172301086,35.26685994444595,2.0259586602022233,2.973969886632851,4.072181902291929,0.2042154658888049,0.0,0.0,0.0,0.0,0.0,0.7146759704810612
6,46.78031699644967,8.558723427688982,30.773314503029074,1.0353901877880174,2.0391226037678547,7.12377912349965,3.021658390811326,0.0,0.0,0.0,0.0,0.0,0.6676947669654254
7,48.3503730982414,11.746164354284844,26.88338834968553,0.9164139964580726,3.381227801579001,5.905918555438667,0.8975636030316922,0.0,0.0,0.0,0.0,0.0,1.9189502412807975
8,50.19746581139339,13.031204136331073,27.904321790282623,0.48876838465437267,2.6973573187074202,4.960758221834653,0.11714747168190642,0.0,0.0,0.0,0.0,0.0,0.6029768651145566
9,54.48090345234908,17.560760994673643,20.107336474038966,0.20124878156943557,3.5129399507980112,2.6465486623028127,0.04551351774148662,0.0,0.0,0.0,0.0,0.0,1.444748166526561
10,52.396038762719364,25.043205498304978,15.603425836046348,0.1163558474138744,2.4023739840757656,2.5909491717570656,0.0,0.0,0.0,0.0,0.0,0.0,1.8476508996826044
