Decile,Conservative,Liberal Democrat,Labour,Reform UK,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,Other
1.0,8.74720718034733,3.4942826649009677,32.6585905440591,11.673780373485613,6.379792377923029,1.0408083195159448,0.0,6.435763090241799,9.276185285007074,2.8461838857392663,2.647817096491862,3.2719088299286008,11.527680352359413
2.0,14.29033915095554,4.595680954726549,41.94137130088414,16.911624734454648,8.180041963868527,0.5177738636262912,0.6753388618260909,1.3218491959879806,0.3391045259944259,1.0391354649560334,1.556445033114819,1.9263618946800602,6.704933054924887
3.0,16.241061978101595,6.270988128996993,43.752339875686395,14.96473307021608,8.33982231903816,3.124133285787868,0.5022596224987083,0.0,0.0,0.0,0.0,0.0,6.8046617196742005
4.0,20.141001807305898,6.909598193911144,41.63303323130473,16.48478242349376,7.617459670303591,3.3557623849135596,1.1415084006255591,0.0,0.0,0.0,0.0,0.0,2.716853888141761
5.0,23.192000151631486,9.66865301530298,38.826100499489854,15.761663912385611,6.6014055237491025,1.3531679715676657,0.7003300488189016,0.0,0.0,0.0,0.0,0.0,3.896678877054401
6.0,23.866887844663946,9.704388669320531,35.841309547856945,15.54645996181755,6.5332525339911545,4.5633264844328645,2.2684687368437517,0.0,0.0,0.0,0.0,0.0,1.6759062210732574
7.0,27.569701049642635,10.788505981882338,31.625635722682308,14.38236127125699,8.006577905916513,2.418530500312801,1.4588119120112548,0.0,0.0,0.0,0.0,0.0,3.7498756562951625
8.0,28.01441593490418,12.714763186905714,33.65508554844469,13.314206406790039,6.216292861082297,4.394362335271276,0.03984602469389301,0.0,0.0,0.0,0.0,0.0,1.651027701907914
9.0,33.15693087110118,18.628368127138003,25.569468414546076,14.267499922771101,5.685358391633867,0.7729592773473359,0.13606857693076618,0.0,0.0,0.0,0.0,0.0,1.7833464185316716
10.0,30.95181583523298,30.104359655189096,20.133644107108807,11.106548162820415,5.1039754568402955,1.4202532294005652,0.0,0.0,0.0,0.0,0.0,0.0,1.1794035534078393
